"Manufacturer","Model","SKU","Description","Finish","Diameter","Width","Bolt Pattern","Offset","Backspace","GTIN","Bore","Lugs","Lug Type","Max Load lbs","Cost","AC-EDM","AC-OAK","MAP","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6"
"GT OFFROAD","AGGRESSION","GT82010818018GB","AGGRESSION 20x10 8x180 -18 Gloss Black","Gloss Black","20","10","8x180","-18","4.75","","125.2","8","","3200","260.25","2","0","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/1f4f57de-6afd-4c6b-974e-1e66614ed4f7.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT117241461122","TOMAHAWK 24x14 6x135/6x139.7 -76 Chrome","Chrome","24","14","6x135/6x139.7","-76","4.5","","106.1","6","2500","2500","517.5","75","4","690","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/59292df2-7a51-410b-a724-0b04216af300.png","","","","",""
"GT OFFROAD","STRIKE","GT922126139744GBML","STRIKE 22x12 6x139.7 -44 Gloss Black Milled","Gloss Black Milled","22","12","6x139.7","-44","4.75","","106.1","6","2500","2500","299.25","106","-4","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/a44a2db4-8b49-4aa3-9e51-6ba048324bd6.png","","","","",""
"GT OFFROAD","STARK","GT127241261122","STARK 24x12 6x135/6x139.7 -44 Chrome","Chrome","24","12","6x135/6x139.7","-44","4.75","","106.1","6","2500","2500","496.5","79","4","662","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/095fa7c7-4309-4c06-b2fc-5cfee3fd73b5.png","","","","",""
"GT OFFROAD","AGGRESSION","GT82010818018GBML","AGGRESSION 20x10 8x180 -18 Gloss Black Milled","Gloss Black Milled","20","10","8x180","-18","4.75","","125.2","8","","3200","260.25","58","-4","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/c52a8181-ffac-4288-8be2-832203941547.png","","","","",""
"GT OFFROAD","TOMAHAWK","GT113201051121","TOMAHAWK 20x10 5x127/5x139.7 -18 Gloss Black","Gloss Black","20","10","5x127/5x139.7","-18","4.75","","78.1","0","2500","2500","260.25","44","0","347","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4fac3cd9-f95b-4743-8e96-eef095813955.png","","","","",""
"GT OFFROAD","INVASION","GT72210818018GBML","INVASION 22x10 8x180 -18 Gloss Black Milled","Gloss Black Milled","22","10","8x180","-18","4.75","","125.2","8","","3200","281.25","38","4","375","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4f5ca8ef-0037-4f7a-9122-d92005cfa6f1.png","","","","",""
"GT OFFROAD","STRIKE","GT972092125","STRIKE 20x9 5x139.7 12 Chrome","Chrome","20","9","5x139.7","12","5.5","","108.1","0","2500","2500","293.25","19","7","391","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","STRIKE","GT972095123","STRIKE 20x9 8x165.1 12 Chrome","Chrome","20","9","8x165.1","12","5.5","","125.2","8","3200","3200","293.25","23","4","391","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/dc76a08c-b12b-4966-905d-03a5c3b267e9.png","","","","",""
"GT OFFROAD","INVASION","GT722125139744GBML","INVASION 22x12 5x139.7 -44 Gloss Black Milled","Gloss Black Milled","22","12","5x139.7","-44","4.75","","108.1","0","","2500","299.25","46","4","399","https://autocountry-production.s3.ca-central-1.amazonaws.com/images/wheels/4f5ca8ef-0037-4f7a-9122-d92005cfa6f1.png","","","","",""
